Year,Num w/ small children,Median Income,Mean Income,Num Adults,Num Kids,Num Seniors,Num Teens,Num Young Adults,Total Population,High School,Some College,Bachelor's degree,Advanced degree,Basic education
1999,,67650,90990,,,,,,,,,,,
2000,,67470,91810,,,,,,,,,,,
2001,,66360,91470,,,,,,,,,,,
2002,,65820,89790,,,,,,,,,,,
2003,,65860,89810,150950000.0,60684000.0,34234000.0,20181000.0,19884000.0,285935003.0,,,,,
2004,,65760,89690,152217000.0,60752000.0,34659000.0,20313000.0,20339000.0,288282004.0,68302000.0,58609000.0,35994000.0,18105000.0,
2005,,66780,91310,154158000.0,40467000.0,35210000.0,20662000.0,20408000.0,270907005.0,69446000.0,59276000.0,36520000.0,18225000.0,
2006,,67520,93260,156380000.0,60640000.0,35505000.0,20916000.0,20393000.0,293836006.0,69548000.0,60615000.0,37334000.0,18734000.0,
2007,31652000.0,68610,92340,144314000.0,40274000.0,50006000.0,21170000.0,20532000.0,276298007.0,70266000.0,60681000.0,38940000.0,19364000.0,46769000.0
2008,30539000.0,66280,90150,144584000.0,40056000.0,51720000.0,21314000.0,20529000.0,278205008.0,69702000.0,62875000.0,40094000.0,20396000.0,45080000.0
2009,30497000.0,65850,89920,144963000.0,40152000.0,53321000.0,21227000.0,20632000.0,280297009.0,70257000.0,63681000.0,40288000.0,21123000.0,44795000.0
2010,30508000.0,64300,87940,145091000.0,40678000.0,54836000.0,21086000.0,21154000.0,282847010.0,71358000.0,64217000.0,41310000.0,21255000.0,44028000.0
2011,30381000.0,63350,88190,144934000.0,40890000.0,56608000.0,20886000.0,21525000.0,284845011.0,70476000.0,65979000.0,41967000.0,22229000.0,43303000.0
2012,29843000.0,63350,88500,145571000.0,41021000.0,59007000.0,21239000.0,21878000.0,288718012.0,70630000.0,67302000.0,43295000.0,22921000.0,43548000.0
2013,29290000.0,65740,92250,146001000.0,41176000.0,60898000.0,20970000.0,22153000.0,291200013.0,70195000.0,68794000.0,44401000.0,24150000.0,42483000.0
2014,29287000.0,64900,91610,146369000.0,41164000.0,62917000.0,20807000.0,22278000.0,293537014.0,71176000.0,69111000.0,45365000.0,24777000.0,41943000.0
2015,29241000.0,68410,95950,147140000.0,41079000.0,64992000.0,20840000.0,22215000.0,296268015.0,71887000.0,68874000.0,46542000.0,25679000.0,42205000.0
2016,28373000.0,70840,99760,148169000.0,41042000.0,66847000.0,20915000.0,21973000.0,298948016.0,71111000.0,70304000.0,47755000.0,27405000.0,41329000.0
2017,28311000.0,72090,103300,148159000.0,41016000.0,68762000.0,20891000.0,21591000.0,300421017.0,71403000.0,70670000.0,49392000.0,28103000.0,39835000.0
2018,28593000.0,73030,104100,148674000.0,41055000.0,71157000.0,20908000.0,21434000.0,303230018.0,71646000.0,70476000.0,51448000.0,28975000.0,39628000.0
2019,28321000.0,78250,111700,148099000.0,41039000.0,73379000.0,20849000.0,21254000.0,304622019.0,71217000.0,69778000.0,53356000.0,30172000.0,39058000.0
2020,28120000.0,76660,109900,147402000.0,40972000.0,75657000.0,20754000.0,21059000.0,305846020.0,70472000.0,69745000.0,55846000.0,31935000.0,36872000.0
2021,27549000.0,76330,110300,147648000.0,40845000.0,76930000.0,20655000.0,21022000.0,307102021.0,72062000.0,68764000.0,56301000.0,32492000.0,36638000.0
2022,27986000.0,74580,106400,148907000.0,41459000.0,77367000.0,21414000.0,21035000.0,310184022.0,74824000.0,67651000.0,56405000.0,32509000.0,37334000.0
